Date,Inflation Rate(USA)
"Apr 28, 2023",8.3
"Apr 27, 2023",8.3
"Apr 26, 2023",8.3
"Apr 25, 2023",8.3
"Apr 24, 2023",8.3
"Apr 21, 2023",8.3
"Apr 20, 2023",8.3
"Apr 19, 2023",8.3
"Apr 18, 2023",8.3
"Apr 17, 2023",8.3
"Apr 14, 2023",8.3
"Apr 13, 2023",8.3
"Apr 12, 2023",8.3
"Apr 11, 2023",8.3
"Apr 10, 2023",8.3
"Apr 06, 2023",8.3
"Apr 05, 2023",8.3
"Apr 04, 2023",8.3
"Apr 03, 2023",8.3
"Mar 31, 2023",8.3
"Mar 30, 2023",8.3
"Mar 29, 2023",8.3
"Mar 28, 2023",8.3
"Mar 27, 2023",8.3
"Mar 24, 2023",8.3
"Mar 23, 2023",8.3
"Mar 22, 2023",8.3
"Mar 21, 2023",8.3
"Mar 20, 2023",8.5
"Mar 17, 2023",8.5
"Mar 16, 2023",8.5
"Mar 15, 2023",8.5
"Mar 14, 2023",8.5
"Mar 13, 2023",8.5
"Mar 10, 2023",8.5
"Mar 09, 2023",8.5
"Mar 08, 2023",8.5
"Mar 07, 2023",8.5
"Mar 06, 2023",8.5
"Mar 03, 2023",8.5
"Mar 02, 2023",8.5
"Mar 01, 2023",8.5
"Feb 28, 2023",8.5
"Feb 27, 2023",8.5
"Feb 24, 2023",8.5
"Feb 23, 2023",8.5
"Feb 22, 2023",8.5
"Feb 21, 2023",8.5
"Feb 17, 2023",8.5
"Feb 16, 2023",8.5
"Feb 15, 2023",8.5
"Feb 14, 2023",8.5
"Feb 13, 2023",8.5
"Feb 10, 2023",8.5
"Feb 09, 2023",8.5
"Feb 08, 2023",8.5
"Feb 07, 2023",8.5
"Feb 06, 2023",8.5
"Feb 03, 2023",8.5
"Feb 02, 2023",7.9
"Feb 01, 2023",7.9
"Jan 31, 2023",7.9
"Jan 30, 2023",7.9
"Jan 27, 2023",7.9
"Jan 26, 2023",7.9
"Jan 25, 2023",7.9
"Jan 24, 2023",7.9
"Jan 23, 2023",7.9
"Jan 20, 2023",7.9
"Jan 19, 2023",7.9
"Jan 18, 2023",7.9
"Jan 17, 2023",7.9
"Jan 13, 2023",7.9
"Jan 12, 2023",7.9
"Jan 11, 2023",7.9
"Jan 10, 2023",7.9
"Jan 09, 2023",7.9
"Jan 06, 2023",7.9
"Jan 05, 2023",7.9
"Jan 04, 2023",7.9
"Jan 03, 2023",7.9
"Dec 30, 2022",7.9
"Dec 29, 2022",7.9
"Dec 28, 2022",7.9
"Dec 27, 2022",7.9
"Dec 23, 2022",7.9
"Dec 22, 2022",7.9
"Dec 21, 2022",7.5
"Dec 20, 2022",7.5
"Dec 19, 2022",7.5
"Dec 16, 2022",7.5
"Dec 15, 2022",7.5
"Dec 14, 2022",7.5
"Dec 13, 2022",7.5
"Dec 12, 2022",7.5
"Dec 09, 2022",7.5
"Dec 08, 2022",7.5
"Dec 07, 2022",7.5
"Dec 06, 2022",7.5
